_id,name,author,genre
662a9e73d2a9173d53c01b9d,One Piece,Eiichiro Oda,adventure|comedy|action
662a9e74d2a9173d53c01b9e,Naruto,Masashi Kishimoto,action|adventure|martial-arts
662a9e75d2a9173d53c01b9f,Bleach,Tite Kubo,action|adventure|supernatural
662a9e76d2a9173d53c01ba0,Attack on Titan,Hajime Isayama,action|horror|sci-fi
662a9e77d2a9173d53c01ba1,My Hero Academia,Kōhei Horikoshi,action|adventure|comedy
662a9e78d2a9173d53c01ba2,Dragon Ball,Akira Toriyama,action|adventure|martial-arts
662a9e79d2a9173d53c01ba3,Fullmetal Alchemist,Hiromu Arakawa,action|sci-fi|adventure
662a9e7ad2a9173d53c01ba4,Death Note,Tsugumi Ohba,supernatural|trinh-tham|psychological
662a9e7bd2a9173d53c01ba5,Hunter x Hunter,Yoshihiro Togashi,action|adventure|fantasy
662a9e7cd2a9173d53c01ba6,One Punch Man,ONE,action|comedy|sci-fi
662a9e7dd2a9173d53c01ba7,Fairy Tail,Hiro Mashima,action|adventure|supernatural
662a9e7ed2a9173d53c01ba8,Tokyo Ghoul,Sui Ishida,horror|supernatural|drama
662a9e7fd2a9173d53c01ba9,Sword Art Online,Reki Kawahara,action|sci-fi|romance
662a9e80d2a9173d53c01baa,Black Clover,Yūki Tabata,action|adventure|supernatural
662a9e81d2a9173d53c01bab,Blue Exorcist,Kazue Katō,supernatural|action|drama
662a9e82d2a9173d53c01bac,Seven Deadly Sins,Nakaba Suzuki,action|adventure|fantasy
662a9e83d2a9173d53c01bad,Demon Slayer,Koyoharu Gotouge,action|horror|supernatural
662a9e84d2a9173d53c01bae,Boku no Hero Academia,Kōhei Horikoshi,action|adventure|comedy
662a9e85d2a9173d53c01baf,JoJo's Bizarre Adventure,Hirohiko Araki,action|adventure|supernatural
662a9e86d2a9173d53c01bb0,Gintama,Hideaki Sorachi,comedy|action|adventure
662a9e87d2a9173d53c01bb1,Reborn!,Akira Amano,action|comedy|supernatural
662a9e88d2a9173d53c01bb2,Berserk,Kentaro Miura,action|horror|fantasy
662a9e89d2a9173d53c01bb3,Vagabond,Takehiko Inoue,action|historical|martial-arts
662a9e8ad2a9173d53c01bb4,Claymore,Norihiro Yagi,action|horror|supernatural
662a9e8bd2a9173d53c01bb5,Mob Psycho 100,ONE,action|comedy|supernatura


